id,k,np
p354,0.025,127
p355,0.025,128
p356,0.025,129
p357,0.025,130
p358,0.025,131
p359,0.025,132
p360,0.025,133
p361,0.025,134
p362,0.025,135
p363,0.025,136
p364,0.025,137
p365,0.025,138
p366,0.025,139
p367,0.025,140
p368,0.025,141
p369,0.025,142
p370,0.025,143
p371,0.025,144
p372,0.025,145
p373,0.025,146
p374,0.025,147
p375,0.025,148
p376,0.025,149
p377,0.025,150
p378,0.025,151
p379,0.025,152
p380,0.025,153
p381,0.025,154
p382,0.025,155
p383,0.025,156
p384,0.025,157
p385,0.025,158
p386,0.025,159
p387,0.025,160
p388,0.025,161
p389,0.025,162
p390,0.025,163
p391,0.025,164
p392,0.025,165
p393,0.025,166
p394,0.025,167
p395,0.025,168
p396,0.025,169
p397,0.025,170
p398,0.025,171
p399,0.025,172
p400,0.025,173
p401,0.025,174
p402,0.025,175
p403,0.025,176
p404,0.025,177
p405,0.025,178
p406,0.025,179
p407,0.025,180
p408,0.025,181
p409,0.025,182
p410,0.025,183
p411,0.025,184
p412,0.025,185
p413,0.025,186
p414,0.025,187
p415,0.025,188
p416,0.025,189
p417,0.025,190
p418,0.025,191
p419,0.025,192
p420,0.025,193
p421,0.025,194
p422,0.025,195
p423,0.025,196
p424,0.025,197
p425,0.025,198
p426,0.025,199
p427,0.025,200
p428,0.025,201
p429,0.025,202
p430,0.025,203
p431,0.025,204
p432,0.025,205
p433,0.025,206
p434,0.025,207
p435,0.025,208
p436,0.025,209
p437,0.025,210
p438,0.025,211
p439,0.025,212
p440,0.025,213
p441,0.025,214
p442,0.025,215
p443,0.025,216
p444,0.025,217
p445,0.025,218
p446,0.025,219
p447,0.025,220
p448,0.025,221
p449,0.025,222
p450,0.025,223
p451,0.025,224
p452,0.025,225
p453,0.025,226
p454,0.025,227
p455,0.025,228
p456,0.025,229
p457,0.025,230
p458,0.05,2
p459,0.05,3
p460,0.05,4
p461,0.05,5
p462,0.05,6
p463,0.05,7
p464,0.05,8
p465,0.05,9
p466,0.05,10
p467,0.05,11
p468,0.05,12
p469,0.05,13
p470,0.05,14
p471,0.05,15
p472,0.05,16
p473,0.05,17
p474,0.05,18
p475,0.05,19
p476,0.05,20
p477,0.05,21
p478,0.05,22
p479,0.05,23
p480,0.05,24
p481,0.05,25
p482,0.05,26
p483,0.05,27
p484,0.05,28
p485,0.05,29
p486,0.05,30
p487,0.05,31
p488,0.05,32
p489,0.05,33
p490,0.05,34
p491,0.05,35
p492,0.05,36
p493,0.05,37
p494,0.05,38
p495,0.05,39
p496,0.05,40
p497,0.05,41
p498,0.05,42
p499,0.05,43
p500,0.05,44
p501,0.05,45
p502,0.05,46
p503,0.05,47
p504,0.05,48
p505,0.05,49
p506,0.05,50
p507,0.05,51
p508,0.05,52
p509,0.05,53
p510,0.05,54
p511,0.05,55
p512,0.05,56
p513,0.05,57
p514,0.05,58
p515,0.05,59
p516,0.05,60
p517,0.05,61
p518,0.05,62
p519,0.05,63
p520,0.05,64
p521,0.05,65
p522,0.05,66
p523,0.05,67
p524,0.05,68
p525,0.05,69
p526,0.05,70
p527,0.05,71
p528,0.05,72
p529,0.05,73
p530,0.05,74
p531,0.05,75
p532,0.05,76
p533,0.05,77
p534,0.05,78
p535,0.05,79
p536,0.05,80
p537,0.05,81
p538,0.05,82
p539,0.05,83
p540,0.05,84
p541,0.05,85
p542,0.05,86
p543,0.05,87
p544,0.05,88
p545,0.05,89
p546,0.05,90
p547,0.05,91
p548,0.05,92
p549,0.05,93
p550,0.05,94
p551,0.05,95
p552,0.05,96
p553,0.05,97
p554,0.05,98
p555,0.05,99
p556,0.05,100
p557,0.05,101
p558,0.05,102
p559,0.05,103
p560,0.05,104
p561,0.05,105
p562,0.05,106
p563,0.05,107
p564,0.05,108
p565,0.05,109
p566,0.05,110
p567,0.05,111
p568,0.05,112
p569,0.05,113
p570,0.05,114
p571,0.05,115
p572,0.05,116
p573,0.05,117
p574,0.05,118
p575,0.05,119
p576,0.05,120
p577,0.05,121
p578,0.05,122
p579,0.05,123
p580,0.05,124
