id,k,np
p354,0.02,98
p355,0.02,99
p356,0.02,100
p357,0.02,101
p358,0.02,102
p359,0.02,103
p360,0.02,104
p361,0.02,105
p362,0.02,106
p363,0.02,107
p364,0.02,108
p365,0.02,109
p366,0.02,110
p367,0.02,111
p368,0.02,112
p369,0.02,113
p370,0.02,114
p371,0.02,115
p372,0.02,116
p373,0.02,117
p374,0.02,118
p375,0.02,119
p376,0.02,120
p377,0.02,121
p378,0.02,122
p379,0.02,123
p380,0.02,124
p381,0.02,125
p382,0.02,126
p383,0.02,127
p384,0.02,128
p385,0.02,129
p386,0.02,130
p387,0.03,2
p388,0.03,3
p389,0.03,4
p390,0.03,5
p391,0.03,6
p392,0.03,7
p393,0.03,8
p394,0.03,9
p395,0.03,10
p396,0.03,11
p397,0.03,12
p398,0.03,13
p399,0.03,14
p400,0.03,15
p401,0.03,16
p402,0.03,17
p403,0.03,18
p404,0.03,19
p405,0.03,20
p406,0.03,21
p407,0.03,22
p408,0.03,23
p409,0.03,24
p410,0.03,25
p411,0.03,26
p412,0.03,27
p413,0.03,28
p414,0.03,29
p415,0.03,30
p416,0.03,31
p417,0.03,32
p418,0.03,33
p419,0.03,34
p420,0.03,35
p421,0.03,36
p422,0.03,37
p423,0.03,38
p424,0.03,39
p425,0.03,40
p426,0.03,41
p427,0.03,42
p428,0.03,43
p429,0.03,44
p430,0.03,45
p431,0.03,46
p432,0.03,47
p433,0.03,48
p434,0.03,49
p435,0.03,50
p436,0.03,51
p437,0.03,52
p438,0.03,53
p439,0.03,54
p440,0.03,55
p441,0.03,56
p442,0.03,57
p443,0.03,58
p444,0.03,59
p445,0.03,60
p446,0.03,61
p447,0.03,62
p448,0.03,63
p449,0.03,64
p450,0.03,65
p451,0.03,66
p452,0.03,67
p453,0.03,68
p454,0.03,69
p455,0.03,70
p456,0.03,71
p457,0.03,72
p458,0.03,73
p459,0.03,74
p460,0.03,75
p461,0.03,76
p462,0.03,77
p463,0.03,78
p464,0.03,79
p465,0.03,80
p466,0.03,81
p467,0.03,82
p468,0.03,83
p469,0.03,84
p470,0.03,85
p471,0.03,86
p472,0.03,87
p473,0.03,88
p474,0.03,89
p475,0.03,90
p476,0.03,91
p477,0.03,92
p478,0.03,93
p479,0.03,94
p480,0.03,95
p481,0.03,96
p482,0.03,97
p483,0.03,98
